 <event>
 1  500.  0.  0.  500.  0.
 2  500.  0.  0.  500.  0.
 3  88.5513331 -22.1006903  40.0803532 -75.805431  0.
 4  328.329419 -103.849612 -301.933755  76.4949214  0.
 5  152.358109 -105.88096 -97.7096383  49.5483852  0.
 6  430.761138  231.831262  359.563041 -50.2378757  0.
 </event>
 <event>
 1  500.  0.  0.  500.  0.
 2  500.  0.  0.  500.  0.
 3  117.747708 -60.7059218  71.2310459  71.4524452  0.
 4  350.954173 -31.7881667  83.9394287  339.282355  0.
 5  349.332229  184.009304 -51.5277979 -292.435408  0.
 6  181.96589 -91.5152154 -103.642677 -118.299392  0.
 </event>
 <event>
 1  500.  0.  0.  500.  0.
 2  500.  0.  0.  500.  0.
 3  258.692822  132.468399 -169.618879 -143.539317  0.
 4  108.457864 -57.3577369 -21.625053 -89.4737689  0.
 5  400.574546 -158.077686  356.319809  92.2366832  0.
 6  232.274768  82.967023 -165.075877  140.776402  0.
 </event>
 <event>
 1  500.  0.  0.  500.  0.
 2  500.  0.  0.  500.  0.
 3  159.571664 -69.178816 -139.51903 -34.8115994  0.
 4  224.778228 -136.015436  165.035779 -69.1971412  0.
 5  250.876534  1.44787822  249.985686 -21.0735705  0.
 6  364.773575  203.746374 -275.502435  125.082311  0.
 </event>
 <event>
 1  500.  0.  0.  500.  0.
 2  500.  0.  0.  500.  0.
 3  412.858746 -8.7191507  138.691325 -388.768616  0.
 4  79.6870803  27.3730895  69.8144057 -26.9572532  0.
 5  391.8619 -36.2186885 -101.06684  376.867947  0.
 6  115.592274  17.5647497 -107.438891  38.8579226  0.
 </event>
 <event>
 1  500.  0.  0.  500.  0.
 2  500.  0.  0.  500.  0.
 3  375.162297  24.6398016 -245.244481 -282.833474  0.
 4  137.78393  68.6646279  39.0870811  112.879495  0.
 5  260.074746  31.0140567  257.903118 -12.7664993  0.
 6  226.979027 -124.318486 -51.7457183  182.720478  0.
 </event>
 <event>
 1  500.  0.  0.  500.  0.
 2  500.  0.  0.  500.  0.
 3  408.187408 -317.220154 -154.380242 -205.317011  0.
